id,source_url,title,overview,outcome,status,platform,asset_urls,asset_text_extracts,created_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,https://tennesseestar.com/2020/09/21/mayor-john-cooper-claims-nashville-bar-and-restaurant-owners-have-been-playing-with-matches-in-a-barn-complaining-about-taking-their-matches-away/?fbclid=IwAR0YDsD-EOftvZS-rB0MD_33KvINt747pGTZcRpNATZUBz876m78Jb_3WYQ,American post questions Nashville Mayor's closure of bars,The post submitted for review asks whether or not Nashville Mayor John Cooper deliberately over-stated COVID-19 case count to motivate closure of bars.,The Mayor has not over-stated the COVID-19 case count iro Nashville bars. The claim has been fact-checked here: https://www.tennessean.com/story/news/2020/09/18/fact-check-nashville-mayor-cooper-coronavirus-stats/3491786001/. The post in question appears to be on a media site that seems to be deliberately skewing news and information about COVID,Resolved,Other Website,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/s2whlz5w__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/s2whlz5w__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/s2whlz5w__0.png,The Tennessee Star 5h 6 Mayor John Cooper today saying it's fake news that Nashville is hiding information about its COVID clusters in bars. Did Nashville's mayor deliberately overstate the number of coveted cases tied to Nashville bars when he shut them down July 2nd? https://sWs.sh/ZIHvU NASHVILLE NOW ON MAYOR DENIES HIDING DETAILS ON COVID CASES IN BARS COOPER CALLS ALLEGATIONS FAKE NEWS i TENNESSEESTAR.COM Mayor John Cooper Claims Nashville Bar and Restaurant Owners 'Have Been Playing with Matches in a Barn 4 41 16 Comments 6 Shares Like Comment Share |,The Tennessee Star 5h 6 Mayor John Cooper today saying it's fake news that Nashville is hiding information about its COVID clusters in bars. Did Nashville's mayor deliberately overstate the number of coveted cases tied to Nashville bars when he shut them down July 2nd? https://sWs.sh/ZIHvU NASHVILLE NOW ON MAYOR DENIES HIDING DETAILS ON COVID CASES IN BARS COOPER CALLS ALLEGATIONS FAKE NEWS i TENNESSEESTAR.COM Mayor John Cooper Claims Nashville Bar,2020-09-21 10:09:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,,Instant COVID-19 tests for sale,The complaint references a WhatsApp message that purports to be selling rapid/instant COVID-19 tests.,This information appears to be inaccurate and misleading. The South African Health Products Regulatory Authority (SAHPRA) has indicated,in line with the South African National Institute for Communicable Disease (NICD) and the World Health Organization (WHO) have indicated that it COVID-19 tests should be conducted by a health care professional and processed by a certified laboratory to ensure accuracy of decision-making,treatment and advice. This message is therefore likely to be a scam and members of the public should treat it with caution. SAHPRA has appealed to the public to report to SAHPRA any company/individual/website selling COVID-19 Rapid test kits so that SAHPRA can take the necessary action in this regard.,Resolved,WhatsApp,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/vjqt4z0h__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/vjqt4z0h__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/vjqt4z0h__0.jpeg,+27 76 053 3294 #NAME? INSTANT COVID TESTS AVAILABLE Good Day. I sell instant Covid Test kits. Results available within 15 minutes. An excellent early warning for staff members. Contact me on 081 333 6422 to discuss Cost effective at R250 per unit and comes in boxes of 25 units 11:30 |,+27 76 053 3294 #NAME? INSTANT COVID TESTS AVAILABLE Good Day. I sell instant Covid Test kits. Results available within 15 minutes. An excellent early warning for staff members. Contact me on 081 333 6422 to discuss Cost effective at R250 per unit and comes in boxes of 25 units 11:30 |,+27 76 053 3294 #NAME? INSTANT COVID TESTS AVAILABLE Good Day. I sell instant Covid Test kits. Results available within 15 minutes. An excellent early warning for staff members. Contact me on 081 333 6422 to discuss Cost effective at R250 per unit and comes in boxes of 25 units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Dont let them lie to you!  EVERY JOB and I repeat EVERY JOB which an immigrant does could have been done by a South African had the immigrant not been here.  Immigrants steal jobs!  2.5 million jobs are stolen by Zimbabweans alone!  #Sidikiwe  #PutSouthAf,False claims regarding Zimbabweans stealing jobs used to mobilise march,The post uses unverified numbers to claim that Zimbabweans are stealing jobs. The hashtags relied on are known to be popular for perpetuating an anti-foreigner sentiment. Included in the post is a call for South African citizens to participate in a march to the Nigerian Embassy on 23 September 2020.,Content circulated under the #PutSouthAfricaFirst hashtag is dangerous and typically seeks to exploit the volatile nature of this issue. High unemployment rates have caused this to be an even more emotionally-driven matter and this sentiment is harnessed to perpetuate a xenophobic narrative. While this post does not fulfil the legal criteria for hate speech,it does constitute disinformation. The matter has been reported to Xenowatch.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/A0GXYPWD__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/A0GXYPWD__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/A0GXYPWD__0.jpeg,VOLTE 4G.oll 3G.aill A O ( 1 56% 02:54 #PutSouthAfricaFirst Top Latest People Photos Videos View all Patriot > (Making South Afri... . 9h Dont let them lie to you! EVERY JOB and I repeat EVERY JOB which an immigrant does could have been done by a South African had the immigrant not been here. Immigrants steal jobs! 2.5 million jobs are stolen by Zimbabweans alone! #Sidikiwe #PutSouthAfricaFirst #Nigerians 23-Sep-20 South African citizens march to the Nigerian Embassy in Pretoria 6 56 108 + BLACK ECONOMIC SEGREGA.. n TE |,VOLTE 4G.oll 3G.aill A O ( 1 56% 02:54 #PutSouthAfricaFirst Top Latest People Photos Videos View all Patriot > (Making South Afri... . 9h Dont let them lie to you! EVERY JOB and I repeat EVERY JOB which an immigrant does could have been done by a South African had the immigrant not been here. Immigrants steal jobs! 2.5 million jobs are stolen by Zimbabweans alone! #Sidikiwe #PutSouthAfricaFirst #Nigerians 23-Sep-20 South African citizens march to the Nigerian Embassy in Preto,2020-09-22 00:59:28 although it is a bit long I had the opportunity to meet the lady that is in charge of the Organisation that fight HUMAN TRAFFICKING in South Africa,and believe me your hair will stand up when you hear what is going on in our country. 1. Did you know that in South Africa a child gets stolen almost every minute,to be kidnapped for the sex industry? 2. The popular ages are between 4 Type a message |,MTNSA-Take Care Mz... 4f.oll 59% 9:49 AM Lehae facebrick guard : David,Don,Kenneth,Lillia,2020-09-22 7:56:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,,Hyperbolic,untrue claims re. persecution of Boerevolk,An image and accompanying copy make a number of statements regarding the alleged persecution of the Boerevolk in South Africa. One of these is that there are 119 laws discriminating on grounds of (white) race.,There are not 119 laws discriminating on grounds of white people's skin colour. Article nine of the Constitution states that no South African may be discriminated against on the basis of race or sex,unless discrimination is fair. The claims stated in the graphic are either blatantly untrue or hyperbolic. The categorisation of boerevolk is also overly-broad and perhaps even inaccurate. In this instance,misinformation is used to exacerbate already-strained racial tensions and increase fear and hostility. However,while it should be clearly marked as misinformation,in the interests of freedom of expression,sentiments and statements such as this should be ventilated and disproven,rather than be removed off Twitter.,Resolved,WhatsApp,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/HGFFUUWR__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/HGFFUUWR__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/HGFFUUWR__0.jpeg,THE BOEREVOLK THE MOST PERSECUTED RACE IN THE WORLD LPESNOF8RCPENACESTRVORORGNGELEANCNCWOANDTHEOORMTONGCITRE I PERSONOF PERSONOFEUROPEANANCESTRYOR ORIGIN BOER NATION CULTURE ABOER SANYWHITEAFRKAANSSPEAKNGORENGLSHSPEAKN SANYWHT MPOVERISHED ATTACKED BY ALIENATED ALL POLITICAL PARTIES PROSECUTED BY THE IGNORED BY GOVERNMENT HUMAN RIGHTS ORGANIZA 119 LAWS TIONS AGAINSTHIS SKIN COLOUR DISARMED MURDERED TO EXCLUDED NEAR FROM THE EXTICTION LABOR MARKET DEMONIZED BY THE MEDIA HISTORY WIPED OUT BY RIDICULED BY DESPOTS THE WORLD A NATION THAT HAVE TO PAY A ALIENATED FORGOTTEN BY FROM HIS OWN THE UN TERRIBLE PRICE COUNTRY HATED BY THE FOR BEING SOLD DISOWNED LIBERALS OUT AS A SACRIFICE CRIMINALIZED SIDE-STEPPED TO POLITICAL FOR HIS BY WELFARE THUGGERY. LANGUAGE |,THE BOEREVOLK THE MOST PERSECUTED RACE IN THE WORLD LPESNOF8RCPENACESTRVORORGNGELEANCNCWOANDTHEOORMTONGCITRE I PERSONOF PERSONOFEUROPEANANCESTRYOR ORIGIN BOER NATION CULTURE ABOER SANYWHITEAFRKAANSSPEAKNGORENGLSHSPEAKN SANYWHT MPOVERISHED ATTACKED BY ALIENATED,2020-09-22 13:13:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,https://youtu.be/1Gbmm2vVyCE,Renaldo Gouws Youtuber making claims about Fairview Horse Incident,This prominent youtuber makes various false claims about a violent incident that have fuelled racial tensions and evoked many emotional responses,The initial reports were all shocking,which appears to be when this video was made,and later reports clarified that there had been clear exaggerations. Whilst it contains strong elements of dis/misinformation. It does not meet the criteria of having the ability to cause public harm though. His comments tying this to behaviour made acceptable by the EFF would count as fair political comment.,Resolved,Youtube,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/J3O1MPUL__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/J3O1MPUL__0.jpeg,Attack on thoroughbreds prompts horse-racing couple Bremner,partne For Nya quitting Fairview Guy Rogers rogersgothehe He was a jud yout Christi leading role apartheid a SA Message and fection flov lowing the Sunday of 53,who d collapsing Elizabeth Long Devon Koen get out of this industry. Genera- Ncame s koendotheherald.co.za tions of horse racing is now guished dead in its tracks. still at hi Farewell Fairview,farewell said to [Bremner] we will not go through this again great org South Africa. That Those are the sentiments of and put our lives in danger,student horse trainer Yvette Bremner McGrath said. and her partner and racehorse For Bremner,52,who has MOVING ON: class and owner,Hedley MeGrath,who been training horses at Horse trainer and this have decided to leave the Fairview since 2002 and work- Yvette stood ou Fairview Racecourse - and SA ing with the animals since the Bremner and Subs ing the - after last week's violent age of 19 the decision was one her partner protests. she had been forc,2020-09-22 22:18:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Nigerians at Pretoria this morning getting ready for #23SeptemberCleanSA March Isa war  #PutSouthAfricansFirst #thelegacy #HumanTrafficking Foreigners #ForeignersMustGo Midrand #humantraffickingawareness https://t.co/tWszb6kVSt,Old video uses trending xenophobic and trafficking hashtags for business promotion,The video featured in the tweet submitted for review purports to feature Nigerians preparing for retaliation of some sort. The text of the message includes the hashtags #23SeptemberCleanSA #PutSouthAfricansFirst #thelegacy #HumanTrafficking #ForeignersMustGo Midrand #humantraffickingawareness,and states isa [sic] war.,This is disinformation for private gain.0 O 0123% Js 09:18 Tweet Rabelani Lidzhade @rabelaniCPT Nigerians at Pretoria this morning getting ready for #23SeptemberCleanSA March Isa war #PutSouthAfricansFirst #thelegacy #Human Trafficking Foreigners #ForeignersMustGo Midrand #humantraffickingawareness $42525 10011 Tweet your reply O O |,VOLTE 4G.al 3G.ill A 0 O 0123% Js 09:18 Tweet Rabelani Lidzhade @rabelaniCPT Nigerians at Pretoria this morning getting ready for #23SeptemberCleanSA March Isa war #PutSouthAfricansFirst #thelegacy #Human Trafficking Foreigners #ForeignersMustGo Midrand #humantraffickingawareness $42525 10011 Tweet your reply O O |,VOLTE 4G.al 3G.ill A 0 O 0123% Js 09:18 Tweet Rabelani Lidzhade @rabelaniCPT Nigerians at Pretoria this morning getting ready for #23SeptemberCleanSA March Isa war #PutSouthAfricansFirst #thelegacy #Human Trafficking Foreigners #ForeignersMustGo Midrand #humantraffickingawareness $42525 10011 Tweet your reply O O |,2020-09-23 7:19:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,https://twitter.com/twatterbaas/status/1308422123417985025?s=21,Contrasting images used to further racist agenda,The tweet juxtaposes two images purporting to reinforce a broader message that black protestors destroy infrastructure whilst white folks clean and repair.,While the nature and message of the posts seek to promote a deplorable racist,white superiority agenda using isolated images to misleadingly illustrate a general point,it does not constitute hate speech as the incitement to harm criteria is not fulfilled.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/tplenv4o__0.jpeg,.all MTNSA-Take Care Mz... 12:40 59% Tweet Baas @twatterbaas Two pics taken in the last week. On the left,black protestors destroying infrastructure On the right white folks cleaning and repairing. #SomePeopleDestroy #SomePeopleBuild Tweet your reply |,2020-09-23 10:45:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,https://twitter.com/dirkdup69/status/1308800639997181958?s=21,Racist Tweets by @dirkdup69,This Twitter user posts the most vile hate speech and pictures comparing people of colour to animals,These posts contain strong elements of both disinformation and of hate speech but do not meet the full criteria of both. The Twitter account as a whole is offensive and racist and Twitter must be requested to remove it.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/JS8VWT0H__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/JS8VWT0H__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/JS8VWT0H__1.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/JS8VWT0H__1.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/JS8VWT0H__2.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/JS8VWT0H__2.jpeg,Dr Dirk Donkerbal @dirkdup69 Replying to @posthumus_johar And this? TARECAT.COM SAY NO TO RACISM 18:08 . 2020/09/23 . Twitter for iPhone 1 Quote Tweet 2 Likes O T O 1 Tweet your reply Q |,Dr Dirk Donkerbal @dirkdup69 Replying to @posthumus_johar And this? TARECAT.COM SAY NO TO RACISM 18:08 . 2020/09/23 . Twitter for iPhone 1 Quote Tweet 2 Likes O T O 1 Tweet your reply Q |,Tweet Dr Dirk Donkerbal @dirkdup69 Replying to @dirkdup6g and @posthumus_johar and this WANNEERJYVIRIN MAAND NOG NIEGESTEEL HET NIE 18:09 . 2020/09/23 . Twitter for iPhone Tweet your reply |,Tweet Dr Dirk Donkerbal @dirkdup69 Replying to @dirkdup6g and @posthumus_johar and this WANNEERJYVIRIN MAAND NOG NIEGESTEEL HET NIE 18:09 . 2020/09/23 . Twitter for iPhone Tweet your reply |,Tweet Dr Dirk Donkerbal @dirkdup69 When you have to hold her like this at night because she steals whitepeoplehwumor 15:27 . 2020/09/23 . Twitter for iPhone 10 Retweets 3 Quote Tweets 59 Likes O 1 |,Tweet Dr Dirk Donkerbal @dirkdup69 When you have to hold her l,2020-09-23 19:16:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,,Misinformation from anti-vaxxer Robert F. Kennedy Jr. (lawyer,not doctor),The Whatsapp message claims to be a message from Robert F Kennedy Jnr advising against a COVID-19 vaccine. The resource url links to his Wikipedia page. The Whatsapp starts with To all my patients: RF Kennedy Jnr.,This is misinformation. The message is harmful: (1) It positions R Kennedy's message as 'official' as it appears on Wikipedia; (2) it positions Robert Kennedy as a medical doctor,as it begins 'to all my patients; and (3) Robert F Kennedy has spread multiple conspiracy theories about COVID-19 and vaccinations. This is a clear attempt to stop people from ever having a vaccination,when one becomes available.,Resolved,WhatsApp,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/ASN9E4NA__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/ASN9E4NA__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/ASN9E4NA__0.jpeg,-- the the the PAMAR the the NGACED the ICATION .DOES THE VIRU EXIST? the the the vinuses CURE? you 3. THERE and many the SCIENTIST - for the the I AFRAID? PLAN? N? - WHAT SHOULD DO? protes your yourself the copied |,- - the the the PAMAR the the NGACED the ICATION .DOES THE VIRU EXIST? the the the vinuses CURE? you 3. THERE and many the SCIENTIST - for the the I AFRAID? PLAN? N? - WHAT SHOULD DO? protes your yourself the copied |,- - the the the PAMAR the the NGACED the ICATION .DOES THE VIRU EXIST? the the the vinuses CURE? you 3. THERE and many the SCIENTIST - for the the I AFRAID? PLAN? N? - WHAT SHOULD DO? protes your yourself the copied |,2020-09-29 17:56:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,,False claim re. internet shutdown brought by Quantum Internet,The post states that the Quantum Internet will cause the whole Internet on THE PLANET to switch off,and thanks a conspiracy theorist,Daniel Dowell (https://web.facebook.com/daniel.dowell.7773) for the information.,This is fake news. The Quantum Internet is still not widely implemented or clearly defined in terms of what it will do and the activities for which it will be used. It not 'switch off' the current Internet or shutdown existing social media platforms. There is no evidence to suggest it would do so. It is recommended that Daniel Dowell's Facebook profile be investigated for the perpetuation of QAnon content.,Resolved,WhatsApp,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/UYJAFBHB__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/UYJAFBHB__0.jpeg,10:55 Too O QO all a This means the whole Internet on THE PLANET Switches off. We will welcome the New QUANTUM INTERNET after the SHUTDOWN. Current SOCIAL MEDIA platforms will not return. New ones coming. Thank you Daniel Dowell A >>922142 Fake pic push by MSM. Videos / backup. Google kill. YouTube kill. FBkil Twitter kill. Yahoo kill. Bing kill. Instagram kill. Net will be paused. HAMMER. On the clock. Q O |,10:55 Too O QO all a This means the whole Internet on THE PLANET Switches off. We will welcome the New QUANTUM INTERNET after the SHUTDOWN. Current SOCIAL MEDIA platforms will not return. New ones coming. Thank you Daniel Dowell A >>922142 Fake pic push by MSM. Videos / backup. Google kill. YouTube kill. FBkil Twitter kill. Yahoo kill. Bing kill. Instagram kill. Net will be paused. HAMMER. On the clock. Q O |,2020-09-30 8:21:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,https://twitter.com/MKasukude/status/1310441344033329153,All Nigerians are Criminals and must go,This tweet is a hateful tweet that incites violence against Nigerians.,While the sentiments conveyed in the reported tweet are hateful towards Nigerians,the tweet itself does not meet the criteria for hate speech or incitement to violence. The content of the tweet,does constitute disinformation.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/LX3A2OYV__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/LX3A2OYV__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/LX3A2OYV__0.png,Molokazana KaSukude - @MKasukude Nigeria are not wanted anywhere in the world because of their illegal scheme,human trafficking,drugs and selling human parts.SO why should we keep them here? they've proven to us that what the world says about them it's really who they are! #NigeriansMustGo 6:48 AM . Sep 28,2020 . Twitter Web App 87 Retweets 3 Quote Tweets 393 Likes 13 th 90 393 1 |,Molokazana KaSukude - @MKasukude Nigeria are not wanted anywhere in the world because of their illegal scheme,human trafficking,drugs and selling human parts.SO why should we keep them here? they've proven to us that what the world says about them it's really who they are! #NigeriansMustGo 6:48 AM . Sep 28,2020 . Twitter Web App 87 Retweets 3 Quote Tweets 393 Likes 13 th 90 393 1 |,Molokazana KaSukude - @MKasukude Nigeria are not wanted anywhere in the world because of their illegal scheme,human trafficking,drugs and selling human parts.SO why should we keep them here? they've proven to us that what the world says about t,2020-10-02 11:31:49,,,,,,,,,,,,,,,,,,,,,,,,,
