,title,overview,status,platform,asset_text_extracts
0,Twitter: Breach of ECC?,The complaint is about a Twitter account that is said to be spreading misinformation about Covid-19 vaccine. ,Resolved,Twitter,PARTY OF ACTION Political Party IEC Registere 4327 Tweets IF YOU DO NOT TAKE AN INTEREST IN THE AFFAIRS OF YOUR GOVERNMENT THEN YOU ARE DOOMED TO LIVE UNDER THE RULE OF FOOLS PLATO 9 POA Follow PARTY OF ACTION Political Party IEC Registered PartyOfAction Naturallmmunity COVIDSurvivor SAvaxrecord NoLockDowns FreedomOfReligion NoMedicalApartheid NoMandatoryVaccines NoMandatoryMasks o South Africa III Joined July 2020 1424 Following 2105 Followers n Followed by Karabo Mokgoko and Peter Ndoro
2,,,Needs More Information,WhatsApp,a 21 I 652 Naeem Patel 5 minutesag9go Happy Ganesh Chaturthi to our Hindu Friends Were looking for team members to help us make our town better to stop corruption when it comes to voting counting votes Please PM me if youre interested Please use this referral code to show support if youd like me to be our towns councillor actionsaappr612d03b5 REPLY
3,Possible Voter Registration Fraud,Person complained that they were registered in voting district but they were not present. ,Resolved - Out of Scope,Other,27820070059 Use OTP 517392 to proceed with your Online Voter Registration Service process OTP expires in 15 mins Regards IEC Use OTP 178991 to proceed with your Online Voter Registration Service process OTP expires in 15 mins Regards IEC Use OTP 266276 to proceed with your Voter Portal sign up process for 8708310096086 OTP expires in 15 mins Regards IEC Application received for ID 870831 08 on Sep 6 2021 542PM We will notify you once it has been processed Thank you for using VoterPortal Regards IEC Friday 17 September 2021 Pls upload a clearer picture of Green ID bookTemporary ID Certificate or the FRONT of your Smart card for faster processing of your voter reg applicationIEC Sunday 19 September 2021 The holder of ID number 870831 08 is registered on 06092021 in VD 43870125 at Voting Station NOGQAZA PRIMARY SCHOOL More info wwwelectionsorgza
5,,,Needs More Information,Other,
6,Twitter: Color determines the level of corruption.,The complaint is based on a poster by the EFF which says 'It is not corruption if it is black'.,Resolved,Twitter,IT IS NOT CORRUPTION IF IT IS BLACK REVOLUTIONARY
7,Facebook: Fake ballot papers misleading voters,Complaint is based on a candidate who could possibly be misleading voters/and or sharing false information to campaign.,Resolved,Facebook,SAMPLE BALLOT PAPER DISTRICT COUNCIL PARTY VOTE LOCAL GOVERNMENT ELECTIONS IEC FRANCES BAARD DISTRICT MUNICIPALITY DISTRICT COUNCIL PARTY VOTE SOUTH AFRICA Make your mark in the block next to the party of your choice Democratic Aliance DA DA Frances Baard service FRANCES BAARD FBSDF delivery Forum SERVICE DELIVERY FORUM African National Congress ANC Diphoko Party DP Economic Freedom Fighters EFF Morahe Community Party MCP African Idependent Congress AIC AFRICAN INDEPENDENT CONGRESS Social Party SP Vryheit Front Plus VF African Christian ACDP Democratic Party ACDP Sample 2indd 20141103 345 PM SAMPLE BALLOT PAPER LOCAL COUNCIL PARTY VOTE LOCAL GOVERNMENT ELECTIONS IEC PHOKWANE LOCAL MUNICIPALITY LOCAL COUNCIL PARTY VOTE SOUTH AFRICA Make your mark in the block next to the party of your choice Democratic Aliance DA DA Phokwane service delivery PSDF Forum African National Congress ANC TANC Diphoko Party DP Economic Freedom Fighters EFF Morahe Community Party MCP African Idependent Congress AIC AFRICAN IN
9,Whatsapp: Special vote ,The complaint is based on an infographic published by the DA which is misleading in terms of skipping the line to vote.,Resolved,WhatsApp,DA Skip the lines Vote early If you are a registered voter who cant vote at your voting station on election day you can apply to vote before election day on Saturday 30 October or Sunday 31 October Applications close on 4 October Visit wwwskipthelineorgza for more info or SMS your ID number to 32249
12,Twitter: Offensive DA posters,The complaint is about offensive posters that were erected by the DA.,Resolved,Twitter,THE ANC CALLED YOU RACISTS THE DA CALLS YOU HEROES KEEP YOUR SITY FAN
14,,,Not Relevant,Other,1203 3ul Vo 4G S LTE Sign in to Standard Bank Standard Bank Customer WiFi Account Created Use the following information to sign on to the network Username ssylvester Password 5957 First name Selome Last name Sylvester Email selomemmolokigmailcom Phone number 0799999820 Sign On III O
15,,,Needs More Information,Other,IVERNMENTA ETIONS 2021 DE ANC 2021
